Customer_ID,Gender,Age,Lifetime_data_usage,Date_of_registration,Churn_date,Churn,Lifetime_money_spent,Plans_switch,Dependents,Plan_type,last_plan_used
81076390601,female,57,5616,31-08-2018,,0,31837,2,1,Postpaid,27
53297743644,female,38,3700,31-08-2018,03-05-2023,1,26854,2,1,Postpaid,27
56864064722,male,40,4368,31-08-2018,,0,25148,2,1,Prepaid,24
21358509485,male,39,1684,31-08-2018,14-12-2020,1,9226,2,1,Prepaid,22
38720643973,female,19,4816,31-08-2018,,0,27130,3,1,Prepaid,10
35645127515,female,64,3494,31-08-2018,,0,26484,4,1,Prepaid,25
81530903584,female,61,3998,31-08-2018,,0,23870,2,1,Prepaid,18
77978165926,male,43,2450,31-08-2018,15-10-2022,1,18493,2,2,Postpaid,31
31406931725,female,30,4116,31-08-2018,,0,23862,5,1,Prepaid,18
98370228300,male,31,5740,31-08-2018,,0,46345,2,1,Prepaid,25
55535008684,female,26,3864,31-08-2018,,0,22726,2,1,Prepaid,24
45097131439,male,23,4060,31-08-2018,,0,23970,2,1,Prepaid,23
37120477805,male,21,4830,31-08-2018,,0,36777,1,1,Prepaid,19
55155033341,female,54,3696,31-08-2018,,0,23530,2,1,Prepaid,18
81366744124,male,42,4830,31-08-2018,,0,34917,2,1,Prepaid,19
81528508667,male,40,6650,31-08-2018,,0,58908,2,1,Prepaid,20
38303545250,male,25,2948,31-08-2018,,0,22706,2,1,Postpaid,30
24007966485,female,56,6592,31-08-2018,,0,37088,2,1,Prepaid,25
90934130734,female,28,56565656Unlimited Data56565656Unlimited Data565656Unlimited Data56Unlimited DataUnlimited DataUnlimited Data5656565656Unlimited Data5656Unlimited DataUnlimited Data5656Unlimited Data56Unlimited DataUnlimited Data56Unlimited Data5656Unlimited DataUnlimited DataUnlimited DataUnlimited Data5656Unlimited Data5656Unlimited Data5656565656Unlimited Data56Unlimited DataUnlimited Data56Unlimited DataUnlimited Data56Unlimited Data5656Unlimited Data,31-08-2018,,0,45461,2,1,Postpaid,29
33386805081,female,45,6150,31-08-2018,,0,36811,2,1,Postpaid,30
21291691173,male,56,3920,31-08-2018,,0,23030,2,1,Prepaid,14
18037835069,female,62,3638,31-08-2018,,0,24233,2,1,Prepaid,13
57750425757,male,47,3874,31-08-2018,,0,23055,2,1,Prepaid,23
51234038399,male,34,4032,31-08-2018,,0,33133,2,1,Prepaid,9
75117334396,female,60,3577.5,31-08-2018,,0,25907,2,1,Prepaid,7
24227077608,female,45,2400,31-08-2018,14-09-2022,1,15223,2,1,Prepaid,7
20015658752,female,63,3864,31-08-2018,,0,22758,2,1,Prepaid,24
65348325450,male,46,4046,31-08-2018,,0,33745,2,2,Postpaid,31
41716675738,male,40,3864,31-08-2018,,0,23160,2,1,Prepaid,14
58269146839,female,49,3007.5,31-08-2018,,0,19244,2,1,Prepaid,7
23014384282,male,25,4888,31-08-2018,,0,27365,2,1,Prepaid,15
84175658698,male,20,3662,31-08-2018,,0,21670,2,1,Prepaid,11
13423153429,male,43,3042,31-08-2018,,0,20005,2,1,Prepaid,12
58445274214,male,32,3984,31-08-2018,,0,21890,5,1,Prepaid,4
